"Object","Orbit ID","H (mag)","Estimated Diameter (m)","OCC","Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)","Viable Trajectories","Next Optical Opportunity (yyyy-mm [Vp])","Next Arecibo Radar Opportunity (yyyy-mm [SNR])","Next Goldstone Radar Opportunity (yyyy-mm [SNR])",""
"(2016 JR38)","7","24.5","22 - 99","9","8.437, 410","11.949, 250","83888","? 2029-04 [22.4] ?","none","none","bK16J38R"
"(2019 LB2)","5","26.9","7.1 - 32","6","7.756, 402","11.761, 50","83605","2019-07 [23.6]","none","none","bK19L02B"
"(2006 WB)","20","22.8","48 - 214","2","7.262, 186","11.761, 42","82943","2020-10 [23.8]","2024-11 [1.2e6]","2024-11 [2.5e4]","bK06W00B"
"(2015 MZ53)","5","27.5","5.5 - 25","8","7.439, 370","11.908, 98","82823","none","none","none","bK15M53Z"
"(2019 BX1)","3","28.1","4.1 - 19","6","6.856, 346","11.923, 34","82719","? 2029-01 [19.5] ?","none","none","bK19B01X"
"(2005 FG)","17","23.9","29 - 129","0","7.169, 354","11.991, 242","82079","2024-01 [19.5]","2024-03 [54]","2037-09 [17]","bK05F00G"
"(2012 CM2)","4","24.8","19 - 85","8","9.038, 450","11.941, 202","81636","none","none","none","bK12C02M"
"(2017 YV8)","4","27.3","6.0 - 27","5","7.848, 346","11.909, 218","81344","2034-12 [22.2]","none","none","bK17Y08V"
"(2005 BG28)","10","25.6","13 - 59","7","7.599, 386","11.925, 274","81295","? 2028-05 [23.3] ?","none","none","bK05B28G"
"162173 Ryugu (1999 JU3)","120","19.3","240 - 1074","0","8.279, 370","11.915, 90","81204","2020-03 [16.7]","2020-12 [1100]","2020-12 [70]","a0162173"
"(2003 YS70)","12","29.1","2.6 - 12","5","7.458, 418","11.624, 74","81138","? 2022-11 [22.9] ?","none","none","bK03Y70S"
"(2004 FN8)","13","27.1","6.6 - 30","7","7.845, 362","11.957, 114","80520","none","none","none","bK04F08N"
"(2006 BA)","8","27.6","5.3 - 23","6","6.986, 378","11.981, 162","80303","none","none","none","bK06B00A"
"350751 (2002 AW)","53","20.8","120 - 538","0","8.186, 450","11.926, 282","79989","2020-10 [22.2]","2022-04 [1200]","2022-04 [25]","a0350751"
"326354 (2000 SJ344)","37","22.7","50 - 224","0","7.858, 362","11.961, 130","79930","2023-02 [21.4]","2028-09 [14]","none","a0326354"
"(2019 KK3)","7","27.1","6.6 - 30","7","6.881, 346","11.942, 74","79614","none","none","none","bK19K03K"
"(2015 KF19)","10","22.3","60 - 270","4","7.912, 450","11.748, 282","79559","2021-05 [21.0]","none","none","bK15K19F"
"(1999 SF10)","18","24.3","24 - 107","0","7.545, 426","11.848, 82","79500","2025-07 [22.2]","2025-12 [780]","2025-12 [17]","bJ99S10F"
"(2010 EX11)","28","24.1","26 - 118","4","7.013, 362","11.997, 138","78904","2024-02 [22.5]","none","none","bK10E11X"
"(2018 FE3)","4","27.2","6.3 - 28","6","6.946, 362","11.975, 90","78897","2023-03 [22.4]","none","none","bK18F03E"
"(2002 JR100)","23","24.3","24 - 107","0","8.535, 370","11.965, 282","78746","2019-07 [20.7]","none","none","bK02JA0R"
"(2018 EX)","8","27.0","6.9 - 31","6","8.322, 378","11.922, 58","78566","? 2034-03 [22.7] ?","none","none","bK18E00X"
"(2015 XT378)","3","27.9","4.6 - 20","5","8.154, 370","11.962, 282","77898","none","none","none","bK15Xb8T"
"(2014 UV34)","8","24.9","18 - 81","6","6.794, 362","11.991, 154","77724","? 2025-02 [21.3] ?","none","none","bK14U34V"
"(2016 TQ54)","2","27.2","6.3 - 28","6","8.929, 410","11.967, 298","77461","? 2027-10 [23.3] ?","none","none","bK16T54Q"
"(2017 SX17)","5","28.3","3.8 - 17","5","7.014, 354","11.925, 178","77347","none","none","none","bK17S17X"
"(2016 EQ85)","3","27.6","5.3 - 23","7","6.839, 370","11.922, 274","76931","none","none","none","bK16E85Q"
"(2014 TU)","6","25.1","17 - 74","7","7.499, 370","11.991, 226","76789","? 2024-02 [23.7] ?","none","none","bK14T00U"
"(2016 YP4)","14","27.0","6.9 - 31","5","7.917, 394","11.735, 50","76595","none","none","none","bK16Y04P"
"(2012 UU68)","8","23.0","44 - 195","6","7.672, 378","11.916, 202","76331","2021-08 [22.7]","none","none","bK12U68U"
"(2019 ER2)","3","25.9","11 - 51","6","7.809, 354","11.996, 82","76042","2019-07 [23.8]","none","none","bK19E02R"
"207945 (1991 JW)","73","19.3","240 - 1074","0","7.270, 362","11.841, 146","75375","2024-01 [21.4]","2027-05 [240]","none","a0207945"
"(2017 WF16)","1","29.1","2.6 - 12","6","7.258, 370","11.496, 50","75091","none","none","none","bK17W16F"
"(2009 BK2)","9","25.3","15 - 68","6","8.175, 434","11.952, 306","75001","none","none","none","bK09B02K"
"(2014 CH13)","4","24.4","23 - 103","9","7.557, 370","11.865, 210","74488","? 2025-09 [23.1] ?","none","none","bK14C13H"
"(2012 EL8)","6","28.3","3.8 - 17","7","7.994, 362","11.911, 138","74479","none","none","none","bK12E08L"
"(2007 CM26)","9","25.1","17 - 74","0","8.637, 402","11.993, 170","74424","2027-11 [22.8]","none","none","bK07C26M"
"(2016 WR)","3","26.5","8.7 - 39","7","8.741, 370","11.979, 274","74343","? 2029-12 [23.5] ?","none","none","bK16W00R"
"(2017 BY)","9","25.5","14 - 62","6","7.023, 322","11.747, 98","73483","? 2031-08 [23.4] ?","none","none","bK17B00Y"
"(2018 NR1)","6","24.6","21 - 94","6","8.616, 330","11.912, 154","73410","2027-06 [22.6]","none","none","bK18N01R"
"(2012 HH31)","12","23.8","30 - 135","7","8.223, 450","11.967, 162","73244","? 2024-09 [22.6] ?","none","none","bK12H31H"
"251732 (1998 HG49)","41","21.7","80 - 356","0","8.302, 370","11.939, 162","73152","2019-07 [24.0]","none","none","a0251732"
"(2019 AX3)","2","27.5","5.5 - 25","7","7.480, 386","11.906, 50","72960","none","none","none","bK19A03X"
"(2019 JF1)","12","23.8","30 - 135","5","7.950, 426","11.678, 90","72779","2019-07 [22.4]","2019-09 [370]","2019-09 [24]","bK19J01F"
"(2006 CT)","39","22.2","63 - 282","0","8.058, 434","11.781, 226","72749","2020-03 [23.8]","2020-07 [39]","none","bK06C00T"
"(2001 AV43)","42","24.6","21 - 94","0","7.141, 402","11.659, 34","72473","2026-07 [23.8]","2029-11 [1.2e7]","2029-11 [2.3e5]","bK01A43V"
"(2014 HO2)","7","26.0","11 - 49","8","7.659, 346","11.989, 226","72128","? 2030-10 [19.8] ?","none","none","bK14H02O"
"(2013 XS23)","4","26.3","10 - 43","7","6.801, 362","11.961, 194","71916","? 2037-06 [23.6] ?","none","none","bK13X23S"
"(2004 BY1)","11","24.5","22 - 98","7","8.588, 306","11.936, 202","71515","? 2024-03 [23.8] ?","none","none","bK04B01Y"
"(2004 WH1)","6","24.0","28 - 123","7","7.943, 362","11.917, 178","71315","2038-07 [23.1]","none","none","bK04W01H"
"(2010 WD1)","8","26.5","8.7 - 39","8","8.371, 346","11.786, 194","70895","none","none","none","bK10W01D"
"(1999 RA32)","12","21.2","100 - 448","3","7.205, 362","11.760, 146","70744","2020-06 [23.1]","2025-03 [130]","none","bJ99R32A"
"(2016 AH164)","6","29.7","2.0 - 8.9","6","7.705, 338","11.884, 146","70052","none","none","none","bK16AG4H"
"(2018 XO4)","3","25.3","15 - 68","6","7.891, 186","11.757, 58","69775","? 2032-02 [20.7] ?","none","none","bK18X04O"
"(2007 UP6)","18","23.0","44 - 195","2","6.691, 362","11.924, 154","69759","2026-09 [22.7]","2027-10 [90]","none","bK07U06P"
"(2010 KV7)","6","26.0","11 - 49","8","6.811, 322","11.979, 146","69473","none","none","none","bK10K07V"
"(2011 GD60)","16","21.7","80 - 356","4","7.850, 362","11.995, 178","68955","2019-07 [20.2]","none","none","bK11G60D"
"(2017 HS3)","4","25.6","13 - 59","7","7.270, 362","11.700, 146","68869","? 2028-10 [22.2] ?","none","none","bK17H03S"
"(2016 CF194)","38","24.1","26 - 118","4","8.428, 394","11.954, 82","68742","2019-07 [23.0]","none","none","bK16CJ4F"
"(2002 TZ66)","17","25.9","11 - 51","3","6.659, 362","11.684, 130","68704","2028-10 [19.5]","2028-10 [730]","2028-10 [77]","bK02T66Z"
"(2017 QB2)","4","24.4","23 - 103","4","8.589, 362","11.997, 170","68596","2019-10 [23.8]","none","none","bK17Q02B"
"(2016 WU)","8","27.3","6.0 - 27","6","7.633, 378","11.941, 282","68340","none","none","none","bK16W00U"
"(2018 LG4)","2","27.3","6.0 - 27","5","8.674, 370","11.996, 266","67966","none","none","none","bK18L04G"
"(2013 RV9)","37","23.6","33 - 148","0","6.678, 354","11.957, 154","67817","2023-06 [22.5]","none","none","bK13R09V"
"(2014 WC5)","7","24.7","20 - 89","6","8.575, 354","11.924, 170","67560","2040-10 [23.4]","2040-11 [30]","none","bK14W05C"
"(2015 XH55)","4","29.3","2.4 - 11","6","6.970, 378","11.957, 266","67487","? 2030-11 [20.3] ?","none","none","bK15X55H"
"(1997 YM9)","14","24.0","28 - 123","0","7.179, 370","11.956, 186","67438","2021-07 [22.7]","none","none","bJ97Y09M"
"(2019 GR5)","1","27.0","6.9 - 31","7","6.852, 354","11.399, 82","67220","none","none","none","bK19G05R"
"(2018 NE)","7","23.4","36 - 163","5","8.131, 370","11.950, 306","66872","2019-07 [22.3]","2020-11 [110]","none","bK18N00E"
"(2012 CP46)","6","25.8","12 - 54","8","8.003, 362","11.989, 218","66362","? 2022-07 [23.7] ?","none","none","bK12C46P"
"(2008 UB95)","16","24.7","20 - 89","2","8.488, 442","11.969, 314","65870","2020-01 [20.4]","2020-03 [27]","none","bK08U95B"
"(2008 RH1)","26","22.6","53 - 235","3","7.267, 354","11.970, 258","65660","2019-07 [20.1]","2032-04 [10]","none","bK08R01H"
"(2006 HC)","10","25.4","14 - 65","7","7.109, 370","11.975, 170","65578","? 2026-10 [23.5] ?","none","none","bK06H00C"
"(2011 UC292)","5","22.6","53 - 235","7","7.733, 378","11.973, 266","65543","2020-09 [24.0]","2030-08 [14]","2021-08 [60]","bK11UT2C"
"525498 (2005 GE60)","27","22.1","66 - 296","0","8.288, 394","11.950, 298","65255","2019-10 [19.8]","2036-05 [380]","2036-05 [15]","a0525498"
"(2014 SU1)","14","25.1","17 - 74","0","8.217, 370","11.997, 170","65217","2023-02 [23.6]","none","none","bK14S01U"
"(2018 HU3)","1","28.1","4.2 - 19","6","6.935, 362","11.879, 106","64911","none","none","none","bK18H03U"
"(2008 GL20)","11","26.6","8.3 - 37","6","8.573, 378","11.937, 138","64790","none","none","none","bK08G20L"
"(2013 HP11)","20","25.4","14 - 65","5","8.036, 362","11.930, 170","64770","2022-03 [23.9]","none","none","bK13H11P"
"(2010 CD55)","18","23.3","38 - 170","2","8.261, 394","11.999, 242","64584","2037-01 [23.7]","none","none","bK10C55D"
"(2017 WX13)","10","24.4","23 - 103","6","8.274, 410","11.924, 66","64137","2021-03 [24.0]","none","none","bK17W13X"
"(2018 EF4)","7","26.3","10 - 43","6","7.047, 354","11.774, 106","63974","? 2026-10 [23.5] ?","none","none","bK18E04F"
"(2008 FJ7)","9","25.9","11 - 51","8","7.799, 362","11.925, 242","63944","? 2024-08 [20.1] ?","none","none","bK08F07J"
"(2014 WF201)","11","25.6","13 - 59","6","7.094, 370","11.992, 106","63771","2028-05 [24.0]","none","none","bK14WK1F"
"(2008 TS10)","7","29.0","2.8 - 12","8","7.816, 426","11.860, 106","63360","? 2039-10 [23.9] ?","none","none","bK08T10S"
"(2015 NG13)","6","24.9","18 - 81","7","7.881, 354","11.964, 66","63135","2034-06 [23.5]","none","none","bK15N13G"
"(2019 HP3)","7","25.7","13 - 56","4","7.566, 362","11.906, 122","62642","none","none","none","bK19H03P"
"(2001 FO127)","15","27.5","5.5 - 25","6","8.215, 370","11.827, 98","62471","? 2037-03 [22.6] ?","none","none","bK01FC7O"
"(2015 XX128)","10","26.0","11 - 49","4","7.651, 386","11.748, 34","62469","none","none","none","bK15XC8X"
"(2016 NJ22)","3","28.4","3.6 - 16","5","7.506, 354","11.892, 186","62259","none","none","none","bK16N22J"
"(2015 SZ2)","22","25.4","14 - 65","3","7.401, 354","11.874, 154","61955","2037-01 [22.2]","none","none","bK15S02Z"
"(2014 TB)","3","28.2","4.0 - 18","7","7.274, 370","11.354, 58","61899","? 2039-09 [19.9] ?","none","none","bK14T00B"
"(2016 JH18)","8","26.1","10 - 47","7","8.670, 354","11.922, 210","61887","? 2027-03 [23.1] ?","none","none","bK16J18H"
"(2016 AO131)","19","24.1","26 - 118","0","9.779, 354","11.944, 90","61860","2021-08 [20.1]","2022-01 [15]","none","bK16AD1O"
"(2005 GN22)","7","26.5","8.7 - 39","7","8.581, 418","11.998, 106","61652","? 2021-01 [23.6] ?","none","none","bK05G22N"
"(2014 YT15)","4","27.2","6.3 - 28","6","7.123, 370","11.898, 154","61622","? 2040-06 [23.7] ?","none","none","bK14Y15T"
"(2019 KJ4)","5","27.2","6.3 - 28","7","7.959, 402","11.580, 74","61469","none","none","none","bK19K04J"
"(2018 PZ21)","4","26.7","8.0 - 36","7","8.322, 330","11.943, 146","61247","2022-09 [23.9]","none","none","bK18P21Z"
"(2014 WY119)","5","26.3","10 - 43","6","7.120, 362","11.930, 138","60693","? 2033-11 [24.0] ?","none","none","bK14WB9Y"
"(2012 MY2)","27","26.4","9.1 - 41","4","8.602, 450","11.841, 170","60008","none","none","none","bK12M02Y"
"(2016 GF216)","29","24.9","18 - 81","5","9.009, 386","11.897, 82","59676","2019-07 [22.2]","none","none","bK16GL6F"
"(2007 HC)","10","25.2","16 - 71","7","7.365, 354","11.944, 202","59656","? 2033-09 [23.4] ?","none","none","bK07H00C"
"(2014 SJ262)","11","25.5","14 - 62","7","7.048, 370","11.973, 178","59620","? 2026-02 [23.9] ?","none","none","bK14SQ2J"
"(2014 JX54)","6","24.4","23 - 103","7","8.011, 370","11.991, 242","59323","? 2023-08 [22.9] ?","none","none","bK14J54X"
"(2009 RT1)","13","23.6","33 - 148","0","8.111, 370","11.802, 250","59220","2019-07 [21.9]","none","none","bK09R01T"
"(2006 RJ1)","24","22.2","63 - 282","3","8.783, 402","11.934, 298","59027","2019-07 [19.9]","2031-08 [140]","none","bK06R01J"
"(2017 CP)","3","27.1","6.6 - 30","7","6.541, 354","11.980, 186","58884","? 2023-02 [23.5] ?","none","none","bK17C00P"
"(2015 MC)","17","24.1","26 - 118","6","8.108, 394","11.884, 234","58799","2024-12 [23.6]","none","none","bK15M00C"
"(2015 VE)","11","25.8","12 - 54","6","7.009, 362","11.940, 130","58193","? 2030-04 [22.9] ?","none","none","bK15V00E"
"(2014 UU56)","7","28.6","3.3 - 15","6","7.835, 386","11.906, 258","57969","none","none","none","bK14U56U"
"(2007 VV83)","9","24.7","20 - 89","5","7.794, 362","11.904, 130","57915","2026-08 [23.4]","none","none","bK07V83V"
"(2005 OH3)","10","26.0","11 - 49","6","7.446, 370","11.968, 50","57315","none","none","none","bK05O03H"
"(2017 BL30)","40","23.3","38 - 170","4","8.059, 386","11.983, 194","57018","2022-11 [21.5]","2029-07 [190]","none","bK17B30L"
"(2015 HA177)","4","27.7","5.0 - 22","7","7.182, 346","11.962, 274","56913","? 2021-04 [23.6] ?","none","none","bK15HH7A"
"(2001 KM20)","14","23.6","33 - 148","7","7.511, 338","11.865, 170","56876","? 2019-09 [20.4] ?","none","none","bK01K20M"
"(2018 FY)","17","23.3","38 - 170","2","8.184, 362","11.918, 186","56321","2019-07 [22.6]","none","none","bK18F00Y"
"(2019 EK2)","2","27.6","5.2 - 23","8","8.537, 402","11.969, 274","56185","none","none","none","bK19E02K"
"(2006 HZ5)","15","24.5","22 - 98","6","8.528, 362","11.904, 106","56133","2035-04 [22.8]","none","none","bK06H05Z"
"(2012 FX35)","8","25.8","12 - 54","6","7.228, 370","11.883, 122","55894","? 2022-02 [21.2] ?","none","none","bK12F35X"
"(2014 HA198)","3","28.7","3.2 - 14","8","8.038, 378","11.913, 74","55827","? 2025-04 [22.1] ?","none","none","bK14HJ8A"
"(2014 DQ)","11","24.7","20 - 89","7","7.966, 354","11.872, 178","55442","? 2034-07 [23.2] ?","none","none","bK14D00Q"
"(2017 OE20)","3","25.3","15 - 68","6","7.841, 370","11.568, 154","54827","? 2030-12 [21.1] ?","none","none","bK17O20E"
"(2007 AA2)","9","24.6","21 - 94","7","7.690, 362","11.935, 258","53834","? 2026-05 [20.6] ?","none","none","bK07A02A"
"(1998 XN17)","13","22.8","48 - 214","2","9.236, 410","11.993, 250","53599","2032-11 [23.6]","2035-12 [31]","none","bJ98X17N"
"(2017 RS2)","13","26.5","8.7 - 39","6","7.294, 354","11.752, 58","52990","none","none","none","bK17R02S"
"(2016 PC8)","7","24.7","20 - 89","6","7.353, 370","11.915, 154","52855","? 2026-06 [23.5] ?","none","none","bK16P08C"
"(2012 XF55)","22","22.8","48 - 214","0","8.688, 418","11.854, 82","52503","2019-08 [22.9]","2026-01 [36]","none","bK12X55F"
"(2018 FQ1)","3","26.9","7.3 - 32","7","7.438, 354","11.989, 186","52286","? 2023-08 [23.1] ?","none","none","bK18F01Q"
"(2014 OS338)","5","27.0","6.9 - 31","7","7.833, 362","11.958, 162","51879","? 2029-02 [23.8] ?","none","none","bK14OX8S"
"(2016 SW1)","5","28.5","3.5 - 16","6","7.393, 354","11.952, 74","51825","none","none","none","bK16S01W"
"(2010 UK)","10","26.8","7.6 - 34","6","8.815, 346","11.813, 146","51671","? 2031-12 [23.6] ?","none","none","bK10U00K"
"443104 (2013 XK22)","32","24.3","24 - 107","1","7.478, 378","11.972, 274","51570","2028-11 [23.9]","2031-06 [5500]","2031-06 [250]","a0443104"
"(2012 UE34)","21","23.3","38 - 170","0","7.007, 370","11.942, 106","51428","2019-09 [21.9]","2034-04 [25]","none","bK12U34E"
"(2015 OV)","17","23.6","33 - 148","4","7.085, 362","11.876, 138","51411","2022-03 [22.9]","none","none","bK15O00V"
"(2018 TC)","9","26.6","8.3 - 37","6","6.845, 346","11.980, 114","51367","? 2033-10 [23.6] ?","none","none","bK18T00C"
"(2011 TO)","7","26.3","10 - 43","4","8.585, 386","11.821, 290","51270","2020-12 [23.6]","none","none","bK11T00O"
"(2017 RB)","2","28.0","4.4 - 20","6","6.853, 362","11.813, 82","50815","none","none","none","bK17R00B"
"(2016 RB34)","8","25.0","17 - 78","7","7.511, 370","11.698, 106","50731","? 2022-03 [23.8] ?","none","none","bK16R34B"
"(2015 YA1)","9","24.5","22 - 98","7","7.807, 354","11.959, 234","50609","? 2025-03 [23.2] ?","none","none","bK15Y01A"
"(2011 ES4)","7","25.7","13 - 56","7","7.751, 370","11.992, 274","50608","? 2020-09 [17.6] ?","none","none","bK11E04S"
"(2007 UD6)","10","28.3","3.8 - 17","6","8.498, 322","11.962, 146","50599","none","none","none","bK07U06D"
"(2018 VP7)","3","26.8","7.6 - 34","6","7.627, 338","11.954, 146","50592","none","none","none","bK18V07P"
"(2016 UO5)","5","25.8","12 - 54","7","9.098, 362","11.763, 146","50006","? 2022-11 [23.9] ?","none","none","bK16U05O"
"(2014 GJ1)","10","24.2","25 - 112","5","9.052, 386","11.993, 298","49738","2025-05 [23.0]","none","none","bK14G01J"
"(2017 FW128)","4","27.5","5.5 - 25","7","8.199, 298","11.990, 122","49690","none","none","none","bK17FC8W"
"(2000 YS134)","11","23.1","42 - 187","7","9.173, 338","11.935, 130","49649","2020-02 [23.6]","none","none","bK00YD4S"
"(2016 RQ1)","7","24.8","19 - 85","4","7.598, 362","11.980, 170","49234","2035-07 [22.9]","none","none","bK16R01Q"
"(2014 YE15)","10","28.3","3.8 - 17","3","8.359, 354","11.940, 154","49198","none","none","none","bK14Y15E"
"(2004 OW10)","9","24.5","22 - 98","7","8.372, 338","11.794, 178","48983","? 2023-01 [20.7] ?","none","none","bK04O10W"
"(2018 BQ)","17","25.7","13 - 56","5","8.268, 386","11.907, 50","48554","none","none","none","bK18B00Q"
"(2018 LC1)","13","24.9","18 - 81","6","8.036, 362","11.918, 170","48204","? 2021-12 [23.8] ?","none","none","bK18L01C"
"(2006 GB)","40","20.3","152 - 678","2","8.124, 354","11.976, 178","48089","2019-07 [22.9]","2022-04 [130]","2037-03 [2.2e4]","bK06G00B"
"(2019 JY7)","1","27.7","5.0 - 22","6","8.468, 362","11.967, 282","47967","none","none","none","bK19J07Y"
"(2004 EO20)","22","22.5","55 - 246","1","8.697, 418","11.880, 290","47780","2019-07 [21.0]","none","none","bK04E20O"
"(2015 HQ182)","3","25.0","17 - 78","9","7.857, 410","11.989, 298","47692","? 2021-06 [23.2] ?","none","none","bK15HI2Q"
"(2015 SH)","7","28.1","4.2 - 19","6","7.384, 362","11.893, 74","47562","? 2024-09 [22.6] ?","none","none","bK15S00H"
"(2006 BV39)","8","29.1","2.6 - 12","6","8.304, 450","11.945, 218","47173","none","none","none","bK06B39V"
"(2014 HJ197)","4","30.3","1.5 - 6.8","8","6.287, 450","11.908, 346","47115","none","none","none","bK14HJ7J"
"(2008 WM)","6","26.8","7.6 - 34","9","8.041, 370","11.952, 146","47029","? 2029-05 [22.0] ?","none","none","bK08W00M"
"(2015 XN55)","21","27.2","6.3 - 28","5","7.416, 346","11.896, 162","47023","none","none","none","bK15X55N"
"(2016 AK165)","6","23.8","30 - 135","8","8.993, 346","11.985, 186","47000","? 2022-04 [23.6] ?","none","none","bK16AG5K"
"(2003 LH)","14","25.2","16 - 71","5","8.044, 362","11.948, 282","46807","2036-05 [22.8]","none","none","bK03L00H"
"(2015 HM182)","3","29.0","2.8 - 12","9","7.757, 362","11.992, 202","46383","none","none","none","bK15HI2M"
"(2008 ON10)","15","24.7","20 - 89","7","7.654, 370","11.905, 130","46301","? 2023-05 [23.4] ?","none","none","bK08O10N"
"(2012 HC25)","4","25.8","12 - 54","9","8.479, 362","11.597, 90","46254","none","none","none","bK12H25C"
"(2016 NJ56)","3","24.4","23 - 103","9","9.227, 394","11.958, 122","46231","? 2023-02 [22.2] ?","none","none","bK16N56J"
"(2010 TW54)","13","27.6","5.3 - 23","6","9.064, 418","11.925, 274","46217","none","none","none","bK10T54W"
"(2008 PW4)","18","22.3","60 - 270","0","8.528, 402","11.866, 210","46195","2023-05 [19.6]","none","none","bK08P04W"
"(2008 NP3)","14","23.3","38 - 170","0","8.625, 450","11.978, 386","46090","2020-03 [21.8]","2033-03 [11]","2036-02 [110]","bK08N03P"
"(2017 UU1)","4","26.9","7.3 - 32","6","6.748, 362","11.941, 66","46028","none","none","none","bK17U01U"
